#,NAME,EDITION,REGION,PRICE (SGD),PRICE (MYR),Type
1,Ace Combat Assault Horizon Legacy,Standard,NTSC (US),$39.00 ,105.3,3DS
2,Adventure Time: Hey Ice King! Why'd you Steal our Garbage ?!,Standard,NTSC (US),$29.00 ,78.3,3DS
3,Animal Crossing: New Leaf,Standard,NTSC (US),$39.00 ,105.3,3DS
4,Batman Arkham Origins Blackgate,Standard,NTSC (US),$29.00 ,78.3,3DS
5,Bravely Default,Standard,NTSC (US),$49.90 ,134.73,3DS
6,Bust-a-Move Universe,Standard,NTSC (US),$24.90 ,67.23,3DS
7,Cars 2,Standard,NTSC (US),$29.00 ,78.3,3DS
8,Castlevania: Lords of Shadow: Mirror of Fate,Standard,NTSC (US),$29.00 ,78.3,3DS
9,Code of Princess,Standard,NTSC (US),$39.00 ,105.3,3DS
10,Conception II: Children of the Seven Stars,Standard,NTSC (US),$39.00 ,105.3,3DS
11,Cooking Mama 4: Kitchen Magic,Standard,NTSC (US),$29.00 ,78.3,3DS
12,Cut The Rope: Triple Treat,Standard,NTSC (US),$42.00 ,113.4,3DS
13,Disney Magical World,Standard,NTSC (US),$39.00 ,105.3,3DS
14,Donkey Kong Country Returns 3D,Standard,NTSC (US),$39.00 ,105.3,3DS
15,Epic Mickey: Power of Illusion,Standard,NTSC (US),$29.90 ,80.73,3DS
16,Etrian Odyssey Untold: The Millennium Girl,Standard,NTSC (US),$52.00 ,140.4,3DS
17,Face Racers: Photo Finish,Standard,NTSC (US),$19.90 ,53.73,3DS
18,Fantasy Life,Standard,NTSC (US),$52.00 ,140.4,3DS
19,Farming Simulator 2014,Standard,NTSC (US),$42.00 ,113.4,3DS
20,Fifa 15,Legacy,NTSC (US),$42.00 ,113.4,3DS
21,Finding Nemo: Escape to the Big Blue,Special,NTSC (US),$24.90 ,67.23,3DS
22,Fire Emblem: Awakening,Standard,NTSC (SG),$49.90 ,134.73,3DS
23,Gardening Mama 2: Forest Friends,Standard,NTSC (US),$29.00 ,78.3,3DS
24,Green Lantern: Rise of the Manhunters,Standard,NTSC,$19.90 ,53.73,3DS
25,Harvest Moon: The Lost Valley,Standard,NTSC (US),$43.00 ,105,3DS
26,Heroes of Ruin,Standard,NTSC (US),$29.00 ,78.3,3DS
27,Hometown Story,Standard,NTSC (US),$39.00 ,105.3,3DS
28,Kirby Triple Deluxe,Standard,NTSC (US),$39.00 ,105.3,3DS
29,LEGO Batman 3: Beyond Gotham,Standard,NTSC (US),$42.00 ,113.4,3DS
30,LEGO City Undercover: The Chase Begins,Standard,NTSC (US),$39.00 ,105.3,3DS
31,LEGO Harry Potter: Years 5-7,Standard,NTSC (US),$29.00 ,78.3,3DS
32,LEGO Legends of Chima: Laval's Journey,Standard,NTSC (US),$29.00 ,78.3,3DS
33,LEGO Lord of the Rings,Standard,NTSC (US),$29.90 ,80.73,3DS
34,LEGO Movie Videogame,Standard,NTSC (US),$29.00 ,78.3,3DS
35,LEGO Ninjago Nindroids,Standard,NTSC (US),$39.00 ,105.3,3DS
36,LEGO: The Hobbit,Standard,NTSC (US),$29.00 ,78.3,3DS
37,Mario Golf World Tour,Standard,NTSC (US),$42.00 ,113.4,3DS
38,Mario Kart 7,Standard,NTSC (US),$39.00 ,105.3,3DS
39,Mario & Luigi: Dream Team,Standard,NTSC (US),$49.90 ,134.73,3DS
40,Mario Party Island Tour,Standard,NTSC (US),$39.00 ,105.3,3DS
41,Mario & Sonic at the London 2012 Olympics,Standard,NTSC (US),$29.00 ,78.3,3DS
42,Mario Tennis Open,Standard,NTSC (US),$39.00 ,105.3,3DS
43,Marvel Super Hero Squad: The Infinity Gauntlet,Standard,NTSC (US),$29.00 ,78.3,3DS
44,Metal Gear Solid Snake Eater 3D,Standard,NTSC (US),$32.90 ,88.83,3DS
45,Monster Hunter 3 Ultimate,Standard,NTSC (US),$39.00 ,105.3,3DS
46,New Super Mario Bros. 2,Standard,NTSC (US),$39.00 ,105.3,3DS
47,Nintendogs + Cats: French Bulldog and New Friends,Standard,NTSC (SG),$29.00 ,78.3,3DS
48,Nintendogs + Cats: Golden Retriever and New Friends,Standard,NTSC (SG),$29.00 ,78.3,3DS
49,Nintendogs + Cats: Toy Poodle and New Friends,Standard,NTSC (SG),$29.00 ,78.3,3DS
50,Pac-Man and Galaga Dimensions,Standard,NTSC (US),$29.00 ,78.3,3DS
51,Paper Mario: Sticker Star,Standard,NTSC (US),$29.00 ,78.3,3DS
52,Persona Q: Shadow of the Labyrinth,Special,NTSC (US),$99.00 ,267.3,3DS
53,Pilotwings Resort,Standard,NTSC (US),$29.00 ,78.3,3DS
54,Pokemon Alpha Sapphire,Standard,NTSC (US),$51.00 ,129.98,3DS
55,Pokemon Art Academy,Standard,NTSC (US),$43.00 ,116.1,3DS
56,Pokemon Omega Ruby,Standard,NTSC (US),$51.00 ,129.98,3DS
57,Pokemon X,Standard,NTSC (US),$49.90 ,134.73,3DS
58,Pokemon Y,Standard,NTSC (US),$49.90 ,134.73,3DS
59,Pro Evolution Soccer 2011,Standard,NTSC (SG),$19.90 ,53.73,3DS
60,Professor Layton and the Azran Legacy,Standard,NTSC (US),$52.00 ,140.4,3DS
61,Resident Evil: The Mercenaries 3D,Standard,NTSC (US),$29.00 ,78.3,3DS
62,Samurai Warriors Chronicles,Standard,NTSC (US),$29.00 ,78.3,3DS
63,Shin Megami Tensei: Devil Summoner Soul Hackers,Standard,NTSC (US),$34.90 ,94.23,3DS
64,Shin Megami Tensei: Devil Survivor Overclocked,Standard,NTSC (US),$39.00 ,105.3,3DS
65,Shin Megami Tensei IV,Standard,NTSC (US),$39.00 ,105.3,3DS
66,Sonic and All-Stars Racing Transformed,Standard,NTSC (US),$29.00 ,78.3,3DS
67,Sonic Boom: Shattered Crystal,Standard,NTSC (US),$49.90 ,134.73,3DS
68,Sonic Generations,Standard,NTSC (US),$29.00 ,78.3,3DS
69,Sonic Lost World,Standard,NTSC (US),$29.00 ,78.3,3DS
70,Steel Diver,Standard,NTSC (US),$19.90 ,53.73,3DS
71,Super Smash Brothers,Standard,NTSC (US),$53.00 ,143.1,3DS
72,Tales of the Abyss,Standard,NTSC (US),$49.90 ,134.73,3DS
73,Teenage Mutant Ninja Turtles,Standard,NTSC (US),$29.00 ,78.3,3DS
74,The Amazing Spider-Man 2,Standard,NTSC (US),$29.00 ,78.3,3DS
75,Theatrhythm: Final Fantasy,Standard,NTSC (US),$39.00 ,105.3,3DS
76,Theatrhythm Final Fantasy: Curtain Call,Standard,NTSC (US),$52.00 ,125.01,3DS
77,The Croods: Prehistoric Party!,Standard,NTSC (US),$29.90 ,80.73,3DS
78,The Legend of Zelda: A Link Between Worlds,Standard,NTSC (SG),$49.90 ,134.73,3DS
79,Tomodachi Life,Standard,NTSC (US),$44.90 ,121.23,3DS
80,Ultimate NES Remix,Standard,NTSC (US),$42.00 ,110,3DS
81,Wreck-It Ralph,Standard,NTSC (US),$29.00 ,78.3,3DS
82,Yoshi's New Island,Standard,NTSC (SG),$42.00 ,113.4,3DS
83,Young Justice: Legacy,Standard,NTSC (US),$44.00 ,118.8,3DS
