#,NAME,EDITION,REGION,PRICE (SGD),PRICE (MYR)
1,Ace Combat Assault Horizon Legacy,Standard,NTSC (US),$39.00 ,RM105.30
2,Adventure Time: Hey Ice King! Why'd you Steal our Garbage ?!,Standard,NTSC (US),$29.00 ,RM78.30
3,Animal Crossing: New Leaf,Standard,NTSC (US),$39.00 ,RM105.30
4,Batman Arkham Origins Blackgate,Standard,NTSC (US),$29.00 ,RM78.30
5,Bravely Default,Standard,NTSC (US),$49.90 ,RM134.73
6,Bust-a-Move Universe,Standard,NTSC (US),$24.90 ,RM67.23
7,Cars 2,Standard,NTSC (US),$29.00 ,RM78.30
8,Castlevania: Lords of Shadow: Mirror of Fate,Standard,NTSC (US),$29.00 ,RM78.30
9,Code of Princess,Standard,NTSC (US),$39.00 ,RM105.30
10,Conception II: Children of the Seven Stars,Standard,NTSC (US),$39.00 ,RM105.30
11,Cooking Mama 4: Kitchen Magic,Standard,NTSC (US),$29.00 ,RM78.30
12,Cut The Rope: Triple Treat,Standard,NTSC (US),$42.00 ,RM113.40
13,Disney Magical World,Standard,NTSC (US),$39.00 ,RM105.30
14,Donkey Kong Country Returns 3D,Standard,NTSC (US),$39.00 ,RM105.30
15,Epic Mickey: Power of Illusion,Standard,NTSC (US),$29.90 ,RM80.73
16,Etrian Odyssey Untold: The Millennium Girl,Standard,NTSC (US),$52.00 ,RM140.40
17,Face Racers: Photo Finish,Standard,NTSC (US),$19.90 ,RM53.73
18,Fantasy Life,Standard,NTSC (US),$52.00 ,RM140.40
19,Farming Simulator 2014,Standard,NTSC (US),$42.00 ,RM113.40
20,Fifa 15,Legacy,NTSC (US),$42.00 ,RM113.40
21,Finding Nemo: Escape to the Big Blue,Special,NTSC (US),$24.90 ,RM67.23
22,Fire Emblem: Awakening,Standard,NTSC (SG),$49.90 ,RM134.73
23,Gardening Mama 2: Forest Friends,Standard,NTSC (US),$29.00 ,RM78.30
24,Green Lantern: Rise of the Manhunters,Standard,NTSC,$19.90 ,RM53.73
25,Harvest Moon: The Lost Valley,Standard,NTSC (US),$43.00 ,RM105.00
26,Heroes of Ruin,Standard,NTSC (US),$29.00 ,RM78.30
27,Hometown Story,Standard,NTSC (US),$39.00 ,RM105.30
28,Kirby Triple Deluxe,Standard,NTSC (US),$39.00 ,RM105.30
29,LEGO Batman 3: Beyond Gotham,Standard,NTSC (US),$42.00 ,RM113.40
30,LEGO City Undercover: The Chase Begins,Standard,NTSC (US),$39.00 ,RM105.30
31,LEGO Harry Potter: Years 5-7,Standard,NTSC (US),$29.00 ,RM78.30
32,LEGO Legends of Chima: Laval's Journey,Standard,NTSC (US),$29.00 ,RM78.30
33,LEGO Lord of the Rings,Standard,NTSC (US),$29.90 ,RM80.73
34,LEGO Movie Videogame,Standard,NTSC (US),$29.00 ,RM78.30
35,LEGO Ninjago Nindroids,Standard,NTSC (US),$39.00 ,RM105.30
36,LEGO: The Hobbit,Standard,NTSC (US),$29.00 ,RM78.30
37,Mario Golf World Tour,Standard,NTSC (US),$42.00 ,RM113.40
38,Mario Kart 7,Standard,NTSC (US),$39.00 ,RM105.30
39,Mario & Luigi: Dream Team,Standard,NTSC (US),$49.90 ,RM134.73
40,Mario Party Island Tour,Standard,NTSC (US),$39.00 ,RM105.30
41,Mario & Sonic at the London 2012 Olympics,Standard,NTSC (US),$29.00 ,RM78.30
42,Mario Tennis Open,Standard,NTSC (US),$39.00 ,RM105.30
43,Marvel Super Hero Squad: The Infinity Gauntlet,Standard,NTSC (US),$29.00 ,RM78.30
44,Metal Gear Solid Snake Eater 3D,Standard,NTSC (US),$32.90 ,RM88.83
45,Monster Hunter 3 Ultimate,Standard,NTSC (US),$39.00 ,RM105.30
46,New Super Mario Bros. 2,Standard,NTSC (US),$39.00 ,RM105.30
47,Nintendogs + Cats: French Bulldog and New Friends,Standard,NTSC (SG),$29.00 ,RM78.30
48,Nintendogs + Cats: Golden Retriever and New Friends,Standard,NTSC (SG),$29.00 ,RM78.30
49,Nintendogs + Cats: Toy Poodle and New Friends,Standard,NTSC (SG),$29.00 ,RM78.30
50,Pac-Man and Galaga Dimensions,Standard,NTSC (US),$29.00 ,RM78.30
51,Paper Mario: Sticker Star,Standard,NTSC (US),$29.00 ,RM78.30
52,Persona Q: Shadow of the Labyrinth,Special,NTSC (US),$99.00 ,RM267.30
53,Pilotwings Resort,Standard,NTSC (US),$29.00 ,RM78.30
54,Pokemon Alpha Sapphire,Standard,NTSC (US),$51.00 ,RM129.98
55,Pokemon Art Academy,Standard,NTSC (US),$43.00 ,RM116.10
56,Pokemon Omega Ruby,Standard,NTSC (US),$51.00 ,RM129.98
57,Pokemon X,Standard,NTSC (US),$49.90 ,RM134.73
58,Pokemon Y,Standard,NTSC (US),$49.90 ,RM134.73
59,Pro Evolution Soccer 2011,Standard,NTSC (SG),$19.90 ,RM53.73
