#,NAME,EDITION,REGION,PRICE (SGD),PRICE (MYR),Type
1,Assassin's Creed Unity,Standard,Region Free,59.90,161.73,XboxOne
2,Battlefield 4,Standard,Region Free,39.00,105.30,XboxOne
3,Call of Duty: Advanced Warfare,Standard,Region Free,0.00,0.00,XboxOne
4,Call of Duty: Ghosts,Prestige,Region Free,99.00,267.30,XboxOne
5,Call of Duty: Ghosts,Standard,Region Free,39.00,105.30,XboxOne
6,Dead Rising 3,Apocalypse,Region Free,59.90,161.73,XboxOne
7,Destiny,Standard,Region Free,65.00,175.50,XboxOne
8,Diablo III Ultimate Evil Edition,Standard,Region Free,55.00,148.50,XboxOne
9,Disney Infinity Marvel Super Heroes 2.0 Starter Pack,Standard,Region Free,99.00,267.30,XboxOne
10,FIFA 14,Ultimate,Region Free,29.00,78.30,XboxOne
11,Fighter Within,Standard,Region Free,29.00,78.30,XboxOne
12,Forza Horizon 2,Standard,Region Free,64.00,172.80,XboxOne
13,Forza Motorsport 5,Standard,Region Free,54.00,140.18,XboxOne
14,Halo: The Master Chief Collection,Standard,Region Free,64.00,160.00,XboxOne
15,Just Dance 2015,Standard,Region Free,56.00,135.00,XboxOne
16,Killer Instinct Combo Breaker Pack,Standard,Region Free,39.00,105.30,XboxOne
17,Kinect Sports Rivals,Standard,Region Free,59.90,161.73,XboxOne
18,LEGO Batman 3: Beyond Gotham,Standard,Region Free,67.00,180.90,XboxOne
19,Metal Gear Solid: Ground Zeroes,Standard,Region Free,39.00,105.30,XboxOne
20,Minecraft,Standard,Region Free,29.90,80.73,XboxOne
21,Monopoly Family Fun Pack,Standard,Region Free,41.00,110.70,XboxOne
22,NBA 2K14,Standard,Region Free,39.00,105.30,XboxOne
23,NBA 2K15,Standard,Region Free,69.00,174.99,XboxOne
24,Plants vs Zombies Garden Warfare,Standard,Region Free,35.00,94.50,XboxOne
25,Pro Evolution Soccer 2015,Standard,Region Free,66.00,178.20,XboxOne
26,Project Spark,Standard,Region Free,45.00,121.50,XboxOne
27,Rocksmith 2014 w/ cable,Standard,Region Free,69.90,188.73,XboxOne
28,Ryse: Son of Rome,Standard,Region Free,54.00,145.80,XboxOne
29,Ryse: Son of Rome,Legendary,Region Free,59.90,161.73,XboxOne
30,Saints Row IV: Re-Elected + Gat out of Hell,Standard,,68.00,183.60,XboxOne
31,Sunset Overdrive,Standard,Region Free,64.00,160.00,XboxOne
32,Terraria,Standard,Region Free,39.90,107.73,XboxOne
33,The Evil Within,Standard,Region Free,54.00,145.80,XboxOne
34,Titanfall,Standard,Region Free,54.00,145.37,XboxOne
35,Trials Fusion,Standard,Region Free,49.90,134.73,XboxOne
36,UFC Ultimate Fighting Championship,Standard,Region Free,39.00,105.30,XboxOne
37,Watch Dogs,Standard,Region Free,39.00,105.30,XboxOne
38,Watch Dogs,Collector's,Region Free,99.00,267.30,XboxOne
39,Winning Eleven 2015,Standard,Region Free,68.00,183.60,XboxOne
40,Wolfenstein: The New Order,Standard,Region Free,52.00,140.40,XboxOne
41,WWE 2K15,Collector's,Region Free,129.00,348.30,XboxOne
42,WWE 2K15,Standard,Region Free,60.00,162.00,XboxOne
43,Xbox One Assassin's Creed Core Bundle,Standard,NTSC-J,599.00,1617.30,XboxOne
44,Xbox One Assassin's Creed Kinect Bundle,Standard,NTSC-J,699.00,1887.30,XboxOne
45,Xbox One Stereo Headset,N.A.,,89.90,242.73,XboxOne
46,Zumba Fitness World Party,Standard,Region Free,39.00,105.30,XboxOne
